Age,Gender,Race,Featurs
100,0,0,250.5309790625621
100,0,0,255.08449013680254
100,1,0,260.42206266435556
100,1,0,261.6460222019604
100,1,0,196.76700065023374
100,1,0,250.44963110100738
100,1,2,261.58561004709196
100,1,2,237.5464097144578
101,0,0,258.33818645392375
103,0,2,256.3441408586177
105,0,0,265.1733828836973
105,1,0,251.43751363763323
105,1,0,261.2847325621437
105,1,0,256.7360167809294
105,1,1,236.21811712509947
10,0,0,229.423091462944
10,0,0,222.30717560379014
10,0,0,243.51685342180912
10,0,0,237.69362429802084
10,0,0,227.70054253952736
10,0,2,221.0013076821999
10,1,1,246.93014308437296
10,1,2,248.88593189191
10,1,3,221.70506782084584
10,1,3,235.80232127819482
10,1,4,240.67985434203607
110,0,0,262.35028518515696
110,0,2,260.2578935871527
115,1,1,255.26119586367503
116,1,0,254.20160201777446
116,1,2,246.3637953313926
11,1,1,265.5627468286282
12,0,0,234.47940187493856
12,0,0,239.51007573398869
12,0,0,239.7768514460123
12,0,0,227.9923560550746
12,0,0,225.92926787674253
12,0,0,221.00702001320246
12,0,3,243.64660451443913
12,1,0,239.47599115031852
12,1,0,239.77364402960075
12,1,0,223.36047519739225
12,1,0,252.9407150171229
12,1,0,254.7879516122876
12,1,1,214.85394416050534
12,1,1,232.51990567419972
12,1,1,247.47735496853915
12,1,2,229.60910563791197
12,1,2,224.04836515520338
12,1,2,238.25227066390198
12,1,2,226.15323670015417
12,1,2,247.06469497827982
12,1,3,223.77832955076687
12,1,3,215.34120952901486
12,1,3,243.46875751084372
12,1,4,210.36103313760879
13,0,1,211.01224739881175
13,0,2,218.02746328303465
13,1,3,243.59672252558596
13,1,4,237.50799988334734
14,0,0,236.78199831539084
14,0,0,209.33262290663166
14,0,0,231.12981484385082
14,0,1,250.1248057640161
14,0,1,219.42968387689112
14,0,1,203.30090202128312
14,0,1,249.37967865945916
14,0,1,238.97345862312432
14,0,3,233.0983272519029
14,0,4,250.08613659159616
14,0,4,221.77440490925193
14,0,4,206.06486460868533
14,0,4,212.34092489332096
14,1,0,231.68709069127993
14,1,1,226.8027085774688
14,1,1,251.92003127062992
14,1,1,254.6327432884482
15,0,0,208.60091855049131
15,0,0,253.0067627294435
15,0,0,253.55644028521215
15,0,0,227.3065096734405
15,0,0,252.29567101312298
15,0,0,234.7401337228097
15,0,0,237.5810611115144
15,0,0,227.38153702743705
15,0,0,234.80771811739152
15,0,0,225.26735815661257
15,0,1,224.23011015165156
15,0,1,224.13890850834463
15,0,1,215.94484773444572
15,0,1,258.2376878099656
15,0,1,237.42315910511098
15,0,1,235.121999670558
15,0,2,205.33728334025156
15,1,0,217.2887184491534
15,1,0,219.23685875745488
15,1,1,251.49638009025023
15,1,1,215.2679507390923
15,1,1,240.97238737185643
15,1,1,213.71883208909168
15,1,1,249.9975309762444
15,1,1,236.002853879307
15,1,2,235.30367709756672
15,1,3,232.23512926780666
16,0,0,219.3806162725037
16,0,0,197.64869399327077
16,0,0,246.2570286864132
16,0,0,239.9896369262596
16,0,0,219.9906889141534
16,0,1,261.3213267633889
16,0,1,253.00540881699288
16,0,1,225.65479833953356
16,0,1,267.3976153939996
16,0,2,232.86550334338486
16,0,3,254.59611145347878
16,1,0,271.5878146340747
16,1,0,250.66690459248088
16,1,0,223.8710091481334
16,1,0,251.10800115648084
16,1,0,233.0724415588438
16,1,1,236.94241118223545
16,1,1,264.1991381686001
16,1,1,246.299007412769
16,1,1,261.8363170002988
16,1,1,255.19639109606166
16,1,1,249.13521328234324
16,1,1,254.98867434137645
